,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
24889,2021-05-05 21:35:10,25-34,Education (Higher Education),Research & Instruction Librarian,,54000,0.0,USD,,,United States,Maryland,Baltimore,2 - 4 years,2 - 4 years,Master's degree,Woman,White,54000.0,2
24890,2021-05-05 21:37:00,45-54,Education (Higher Education),"Associate Director, external communications (press relations, pr, etc.)",,114000,0.0,USD,,,USA,New York,Brooklyn,21 - 30 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,114000.0,11
24891,2021-05-05 21:37:45,35-44,Computing or Tech,Test Engineer,,100000,15000.0,USD,,,United States,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White,115000.0,8
24892,2021-05-05 21:38:25,25-34,Nonprofits,HR Associate,,76000,12000.0,USD,,,USA,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree,Woman,White,88000.0,2
24893,2021-05-05 21:39:19,45-54,"Marketing, Advertising & PR",Strategic Planning Director,,198000,0.0,USD,,,USA,California,Los Angeles,21 - 30 years,21 - 30 years,Master's degree,Woman,White,198000.0,21
24895,2021-05-05 21:41:07,35-44,"Accounting, Banking & Finance",Head of Product,,200000,60000.0,USD,,,United States,Pennsylvania,Malvern,11 - 20 years,5-7 years,Master's degree,Woman,White,260000.0,5
24896,2021-05-05 21:42:39,35-44,Computing or Tech,Senior Software Engineer,,176000,0.0,USD,,,U.S.A.,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American,176000.0,11
24898,2021-05-05 21:45:20,35-44,Business or Consulting,Manager,Corporate Librarian,104164,10000.0,USD,,,US,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,114164.0,11
24899,2021-05-05 21:46:21,35-44,Computing or Tech,software development manager,,100000,3000.0,CAD,,,Canada,,"Victoria, BC",11 - 20 years,11 - 20 years,College degree,Woman,White,83955.45959093313,11
24900,2021-05-05 21:50:11,25-34,Computing or Tech,Senior process development engineer,,97000,5000.0,USD,,,United States,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Woman,White,102000.0,8
24901,2021-05-05 21:51:45,25-34,Education (Higher Education),Manager,,81000,0.0,USD,,,USA,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White,81000.0,5
24902,2021-05-05 21:54:34,45-54,Engineering or Manufacturing,Project Controller,Accounting Manager - Project Finances,95000,0.0,USD,,,USA,New York,New York,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",95000.0,21
24904,2021-05-05 21:59:05,25-34,Computing or Tech,Quality Assurance Specialist,,48700,0.0,USD,,,US,Washington,Bellevue,2 - 4 years,2 - 4 years,College degree,Woman,White,48700.0,2
24906,2021-05-05 22:01:54,25-34,Health care,Digital Marketing Analyst,,87000,0.0,USD,,,United States,Connecticut,Hartford,8 - 10 years,5-7 years,College degree,Woman,White,87000.0,5
24908,2021-05-05 22:02:14,25-34,Law,Assistant City Attorney I,Prosecution for a mid-sized city,75000,0.0,USD,,,United States,Minnesota,St. Cloud,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,75000.0,2
24909,2021-05-05 22:03:34,35-44,Nonprofits,Executive Director,,100000,0.0,USD,,,USA,Maryland,Baltimore,11 - 20 years,11 - 20 years,Master's degree,Woman,White,100000.0,11
24910,2021-05-05 22:09:51,35-44,Nonprofits,Senior Policy Analyst,Research and advocacy for a large nonprofit,110000,0.0,USD,,,USA,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",110000.0,11
24911,2021-05-05 22:10:14,25-34,Nonprofits,Program Manager,,66560,1000.0,USD,,,USA,New Hampshire,Laconia,8 - 10 years,8 - 10 years,College degree,Man,White,67560.0,8
24912,2021-05-05 22:11:10,35-44,Health care,Unit Specialist (secretary),,45000,1300.0,USD,,,United States,Oregon,Portland,21 - 30 years,41 years or more,Some college,Woman,"Black or African American, Hispanic, Latino, or Spanish origin",46300.0,41
24913,2021-05-05 22:11:50,25-34,Education (Higher Education),Associate Director - Financial Operations,,91000,0.0,USD,,,United States,New Jersey,New Brunswick,8 - 10 years,5-7 years,Master's degree,Woman,White,91000.0,5
24914,2021-05-05 22:12:03,35-44,Computing or Tech,Senior Director,,136000,0.0,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,Some college,Non-binary,White,136000.0,11
24915,2021-05-05 22:12:48,25-34,Nonprofits,Marketing Manager,,93000,0.0,USD,,,USA,New York,New York,11 - 20 years,2 - 4 years,Master's degree,Woman,White,93000.0,2
24917,2021-05-05 22:16:16,35-44,Education (Higher Education),Director,Member of an administration team at an academic library,72000,0.0,USD,,,United States,Texas,Denton,11 - 20 years,8 - 10 years,Master's degree,Woman,White,72000.0,8
24919,2021-05-05 22:18:48,35-44,Education (Higher Education),Assistant Professor,,118000,20000.0,USD,,bonuses are summer salary from grants,USA,Illinois,Evanston,5-7 years,5-7 years,PhD,Woman,Asian or Asian American,138000.0,5
24921,2021-05-05 22:22:49,25-34,Nonprofits,Program Manager,I oversee 30-50 teens in a workforce development program,50000,0.0,USD,,,USA,Maryland,Baltimore,8 - 10 years,8 - 10 years,College degree,Woman,White,50000.0,8
24923,2021-05-05 22:23:02,35-44,Education (Higher Education),Archivist,Supervisor,74500,0.0,USD,,,USA,Alaska,Fairbanks,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer,74500.0,8
24924,2021-05-05 22:24:23,35-44,Engineering or Manufacturing,Building Automation Technician,,44930,0.0,USD,,,United States,South Carolina,Cheraw,11 - 20 years,5-7 years,Some college,Man,White,44930.0,5
24926,2021-05-05 22:29:14,45-54,Computing or Tech,Software Engineer,full stack web developer/team lead,130000,15000.0,USD,,,United States,California,Los Angeles area,21 - 30 years,21 - 30 years,College degree,Woman,White,145000.0,21
24927,2021-05-05 22:29:34,25-34,Government and Public Administration,Supervisory Asylum Officer,,125000,0.0,USD,,,United States,District of Columbia,Washington DC,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,125000.0,5
24928,2021-05-05 22:29:52,35-44,Computing or Tech,senior software engineer,,151000,18000.0,USD,,,USA,Washington,Redmond,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,169000.0,11
24929,2021-05-05 22:32:26,45-54,Nonprofits,"Director, Grants Administration",,167600,0.0,USD,,,USA,District of Columbia,"Washington, DC",21 - 30 years,21 - 30 years,College degree,Woman,White,167600.0,21
24932,2021-05-05 22:36:46,45-54,Health care,Certified Coder,Medical billing,41600,3000.0,USD,,,USA,Missouri,Springfield,21 - 30 years,8 - 10 years,Some college,Woman,White,44600.0,8
24933,2021-05-05 22:37:01,35-44,Nonprofits,Deputy Director,,70000,0.0,USD,,,Usa,Alaska,Juneau,8 - 10 years,8 - 10 years,College degree,Woman,White,70000.0,8
24934,2021-05-05 22:38:58,35-44,Engineering or Manufacturing,Principal systems engineer,,160000,0.0,USD,,,Usa,Colorado,Boulder,11 - 20 years,11 - 20 years,Master's degree,Woman,White,160000.0,11
24936,2021-05-05 22:43:16,25-34,Health care,Instructor,Researcher at hospital/faculty at med school,90000,0.0,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Woman,White,90000.0,11
24937,2021-05-05 22:44:33,25-34,Engineering or Manufacturing,UX Researcher 2,,90000,0.0,USD,,,United States,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White,90000.0,2
24939,2021-05-05 22:51:01,25-34,Nonprofits,Department Manager,,90000,0.0,USD,,,Usa,New York,New York,41 years or more,8 - 10 years,Master's degree,Woman,Asian or Asian American,90000.0,8
24940,2021-05-05 22:54:08,35-44,Education (Primary/Secondary),teacher,,4000000,600000.0,JPY,,,japan,,tokyo,11 - 20 years,8 - 10 years,Master's degree,Woman,White,42115.67816271782,8
24942,2021-05-05 22:54:57,25-34,Health care,Data Analyst,,75000,0.0,CAD,,,Canada,,"Vancouver, BC",2 - 4 years,1 year or less,Master's degree,Woman,White,61132.61620699015,1
24943,2021-05-05 22:55:08,35-44,Government and Public Administration,Health Systems Comptroller,I am a Lieutenant Colonel in the US Army,140000,0.0,USD,,"Includes basic allowance for housing and substance at the with dependents rate, stationed in metro DC",United States,Maryland,Silver Spring,11 - 20 years,8 - 10 years,Master's degree,Woman,White,140000.0,8
24946,2021-05-05 22:59:48,35-44,Education (Primary/Secondary),Teacher,,68000,1000.0,USD,,10 month employee,USA,Maryland,Hagerstown,11 - 20 years,11 - 20 years,Master's degree,Woman,White,69000.0,11
24947,2021-05-05 23:00:37,25-34,Computing or Tech,Quality assurance,,100000,2000.0,USD,,,USA,Wisconsin,Verona,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,102000.0,8
24950,2021-05-05 23:03:03,35-44,Nonprofits,Housing director,,120000,0.0,USD,,,US,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",120000.0,11
24951,2021-05-05 23:05:08,25-34,Business or Consulting,Senior Consultant,,150000,70000.0,USD,,,United States,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Man,White,220000.0,8
24954,2021-05-05 23:10:51,45-54,"Accounting, Banking & Finance",Writer,,68598,11000.0,USD,,,USA,Virginia,Vienna,21 - 30 years,11 - 20 years,College degree,Woman,White,79598.0,11
24956,2021-05-05 23:14:22,35-44,Government and Public Administration,Communication Director,,73000,0.0,USD,,,United States,Texas,Tyler,11 - 20 years,11 - 20 years,Master's degree,Woman,White,73000.0,11
24957,2021-05-05 23:14:39,25-34,Computing or Tech,"Senior Manager, Community Engagement",,110000,11000.0,USD,,,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,121000.0,2
24959,2021-05-05 23:18:17,25-34,"Marketing, Advertising & PR",Press & Editorial Manager,,60000,0.0,USD,,,USA,New York,New York,2 - 4 years,2 - 4 years,Master's degree,Woman,White,60000.0,2
24960,2021-05-05 23:19:20,25-34,Computing or Tech,Marketing Specialist,,72500,0.0,USD,,,United States,North Carolina,Raleigh-Durham,2 - 4 years,2 - 4 years,College degree,Woman,White,72500.0,2
24961,2021-05-05 23:19:52,25-34,Computing or Tech,Technical Product Expert,For Ad products,102000,30000.0,USD,,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White,132000.0,5
24962,2021-05-05 23:19:56,25-34,Nonprofits,Marketing Automation Coordinator,,63000,0.0,USD,,,United States,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Woman,White,63000.0,5
24963,2021-05-05 23:20:46,25-34,Government and Public Administration,Office Support Assistant,,39000,0.0,USD,,,United States,Washington,Port Orchard,5-7 years,5-7 years,College degree,Woman,White,39000.0,5
24965,2021-05-05 23:24:49,35-44,Health care,Clinical nurse (inpatient),,95472,10000.0,USD,,Varies based on night shift differentials,USA,Pennsylvania,Philadelphia,11 - 20 years,2 - 4 years,College degree,Woman,White,105472.0,2
24966,2021-05-05 23:25:22,25-34,Education (Primary/Secondary),Teacher,,58560,1084.0,USD,,,U.S.,Maryland,Towson,8 - 10 years,5-7 years,Master's degree,Man,White,59644.0,5
24967,2021-05-05 23:26:53,35-44,Education (Higher Education),Department Manager,,72300,0.0,USD,,,USA,Massachusetts,Medford,11 - 20 years,2 - 4 years,College degree,Woman,White,72300.0,2
24970,2021-05-05 23:28:12,25-34,Health care,Technical Writer,,76500,0.0,USD,,,United States,California,Irvine,5-7 years,2 - 4 years,Master's degree,Woman,White,76500.0,2
24971,2021-05-05 23:30:29,25-34,"Accounting, Banking & Finance",Audit Senior,public accounting,68900,6500.0,USD,,,United States,Washington,Spokane,5-7 years,5-7 years,College degree,Woman,White,75400.0,5
24973,2021-05-05 23:34:07,55-64,Computing or Tech,"Director, Voice of the Customer",All customer research,173000,28000.0,USD,,,U.S.,Massachusetts,Boston,31 - 40 years,31 - 40 years,Master's degree,Woman,White,201000.0,31
24974,2021-05-05 23:37:22,35-44,Education (Higher Education),Systems Analyst,,65000,0.0,USD,,,United States,Tennessee,Nashville,11 - 20 years,8 - 10 years,College degree,Man,White,65000.0,8
24975,2021-05-05 23:38:24,25-34,Computing or Tech,Chief of Staff,,120000,0.0,USD,,Is a 30 person startup. Excludes equity grant.,United States,California,San Francisco,8 - 10 years,1 year or less,College degree,Man,"Hispanic, Latino, or Spanish origin",120000.0,1
24978,2021-05-05 23:44:45,25-34,Computing or Tech,Software Engineer,,152000,50000.0,USD,,,United States,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman,White,202000.0,2
24979,2021-05-05 23:45:06,45-54,Health care,Clinical Supervisor,Nurse Manager type job with 65+ staff including Nurses and PSWs,108000,0.0,CAD,,,Canada,,Toronto,21 - 30 years,21 - 30 years,College degree,Woman,White,88030.9673380658,21
24980,2021-05-05 23:46:34,35-44,Law,Senior Paralegal,in-house litigation paralegal,101000,22000.0,USD,,,U.S.,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,123000.0,11
24982,2021-05-05 23:47:18,45-54,Computing or Tech,Mainframe COBOL Software Developer III,,96000,7250.0,USD,,,United States,Kansas,Topeka,21 - 30 years,21 - 30 years,Master's degree,Woman,White,103250.0,21
24983,2021-05-05 23:47:40,35-44,"Marketing, Advertising & PR",Senior Creative Project Manager,,81500,6520.0,USD,,,United States of America,South Carolina,"I work remotely. My company is based out of Pittsburgh, PA",11 - 20 years,11 - 20 years,College degree,Woman,White,88020.0,11
24985,2021-05-05 23:55:28,35-44,Computing or Tech,Senior Staff Engineer,,235000,280000.0,USD,,,United States,California,"Truckee, CA",11 - 20 years,11 - 20 years,Master's degree,Man,White,515000.0,11
24986,2021-05-05 23:56:54,45-54,Nonprofits,Philanthropy Officer,,66500,0.0,USD,,,United States,Oregon,Portland,21 - 30 years,5-7 years,College degree,Woman,White,66500.0,5
24987,2021-05-05 23:58:06,45-54,Nonprofits,Leadership Giving Manager,Major Gifts,73000,0.0,USD,,,United States,Oregon,Portland,21 - 30 years,5-7 years,College degree,Woman,White,73000.0,5
24988,2021-05-06 00:00:34,35-44,Media & Digital,IT Analyst,,75000,0.0,USD,,,US,North Carolina,Remote,11 - 20 years,1 year or less,Master's degree,Woman,Asian or Asian American,75000.0,1
24989,2021-05-06 00:04:36,25-34,Computing or Tech,Engagement Manager,Implementation Manager,105000,10000.0,USD,,,USA,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American,115000.0,8
24990,2021-05-06 00:05:26,35-44,Engineering or Manufacturing,Digital Execution Supervisor,,200000,0.0,USD,,,United States,Texas,Houston,11 - 20 years,11 - 20 years,PhD,Woman,White,200000.0,11
24992,2021-05-06 00:09:26,25-34,Computing or Tech,Senior Security Analyst,,160000,30000.0,USD,,,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White,190000.0,5
24993,2021-05-06 00:18:00,25-34,Business or Consulting,Associate Consultant,,73500,4000.0,USD,,"Variable bonus based on firm and personal performance, up to $5500",United States,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Non-binary,White,77500.0,2
24994,2021-05-06 00:18:28,35-44,Nonprofits,Senior Fellow,"In Washington DC, this job title is a subject-matter expert in an individual contributor role (not a supervisor)",109000,0.0,USD,,,United States of America,District of Columbia,Washington DC (and Philadelphia PA),11 - 20 years,11 - 20 years,College degree,Woman,White,109000.0,11
24995,2021-05-06 00:19:28,25-34,Government and Public Administration,Contracts Specialist 3,,67204,0.0,USD,,,USA,Washington,Olympia,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,67204.0,5
24996,2021-05-06 00:21:31,25-34,Law,paralegal,,75100,250.0,CAD,,,Canada,,Vancouver,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,61988.65529453866,11
24997,2021-05-06 00:22:38,35-44,Business or Consulting,Project Manager,,120000,5000.0,USD,,,United States of America,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White,125000.0,11
24998,2021-05-06 00:24:51,25-34,Law,Paralegal,,45000,0.0,USD,,,Us,New York,Ronkonkoma,11 - 20 years,5-7 years,College degree,Woman,White,45000.0,5
24999,2021-05-06 00:25:46,55-64,Government and Public Administration,Consultant,,105000,0.0,CAD,,,Canada,,Saskatchewan,21 - 30 years,21 - 30 years,Master's degree,Non-binary,White,86381.00605078379,21
25000,2021-05-06 00:27:21,35-44,Computing or Tech,Game Developer,,113000,10000.0,CAD,,,Canada,,Toronto,11 - 20 years,11 - 20 years,Master's degree,Woman,White,101189.17851663246,11
25001,2021-05-06 00:33:41,45-54,Computing or Tech,Managing Partner,,8640000,0.0,JPY,,,Japan,,Sapporo,21 - 30 years,21 - 30 years,College degree,Man,White,79230.47256795279,21
25003,2021-05-06 00:36:27,35-44,Health care,Registered Nurse,,98000,6000.0,USD,,Hourly pay with some OT necessitated by emergency needs and some picked up voluntarily.,United States of America,New York,Syracuse,21 - 30 years,5-7 years,College degree,Woman,White,104000.0,5
25004,2021-05-06 00:45:06,25-34,"Accounting, Banking & Finance",Compliance,,180000,50000.0,EUR,,,Belgium,Alaska,Brussels,11 - 20 years,5-7 years,Master's degree,Man,White,277506.6390447015,5
25006,2021-05-06 00:51:57,25-34,Government and Public Administration,Senior Analyst,,84000,0.0,USD,,,US,Oregon,Salem,8 - 10 years,8 - 10 years,College degree,Non-binary,White,84000.0,8
25007,2021-05-06 00:56:26,25-34,Law,Librarian,,87500,0.0,USD,,,US,California,Southern California,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,87500.0,5
25008,2021-05-06 00:58:59,45-54,Government and Public Administration,Veteran Service Officer,,58000,0.0,USD,,,United States,Colorado,Denver,11 - 20 years,5-7 years,Master's degree,Man,White,58000.0,5
25009,2021-05-06 01:01:36,35-44,Health care,VP Product,,260000,170000.0,USD,,,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Woman,White,430000.0,11
25010,2021-05-06 01:08:39,35-44,Engineering or Manufacturing,Scientist II,Pharma engineer,80000,10000.0,USD,,,Usa,Ohio,Cleveland,8 - 10 years,5-7 years,Master's degree,Woman,White,90000.0,5
25012,2021-05-06 01:12:27,25-34,Media & Digital,Content Manager,,65000,0.0,USD,,,U.S.A.,Illinois,Chicago,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White,65000.0,2
25015,2021-05-06 01:23:22,25-34,"Accounting, Banking & Finance",Auditor,,87000,0.0,USD,,,United States,Florida,Orlando,2 - 4 years,2 - 4 years,College degree,Woman,White,87000.0,2
25016,2021-05-06 01:35:16,45-54,Nonprofits,Executive Director,,70000,500.0,CAD,,,Canada,,Edmonton,21 - 30 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,57998.67549124055,8
25017,2021-05-06 01:52:09,35-44,Nonprofits,Development Associate,Development operations/Donation processing/Donor front-line contact,57000,0.0,USD,,,USA,California,San Rafael,11 - 20 years,2 - 4 years,College degree,Woman,White,57000.0,2
25018,2021-05-06 01:52:16,35-44,"Accounting, Banking & Finance",Controller,,115000,0.0,USD,,,US,Florida,Jacksonville,11 - 20 years,11 - 20 years,College degree,Woman,White,115000.0,11
25021,2021-05-06 02:12:34,35-44,Computing or Tech,Software Developer,,85000,0.0,EUR,,,Germany,,Nürnberg,11 - 20 years,11 - 20 years,Master's degree,Man,White,102556.80138608534,11
25024,2021-05-06 02:18:31,25-34,Health care,Financial Analyst,,80000,0.0,USD,,,United States,Oregon,Portland,8 - 10 years,2 - 4 years,College degree,Woman,White,80000.0,2
25025,2021-05-06 02:20:47,45-54,Health care,Physician Assistant,,196000,120000.0,USD,,,US,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,White,316000.0,11
25026,2021-05-06 02:20:58,35-44,Nonprofits,Executive Assistant,C-suite support,75000,0.0,USD,,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Some college,Woman,White,75000.0,8
25027,2021-05-06 02:27:01,35-44,Nonprofits,Director of Operations,,82000,0.0,USD,,,United States,California,Santa Barbara,11 - 20 years,11 - 20 years,Some college,Woman,White,82000.0,11
25029,2021-05-06 02:32:05,35-44,Media & Digital,Senior Draughtsperson,Film Art Department,83200,500.0,GBP,,"Weekly income 1600, working contracts, no pay between contracts, no paid holiday",uk,,London,11 - 20 years,11 - 20 years,College degree,Woman,White,116304.92176861296,11
25030,2021-05-06 02:32:40,25-34,Education (Primary/Secondary),"Global Director, Learning & Instructional Design",I lead an academic team for a global network of schools in curriculum,56000,0.0,USD,,,Kenya,,Nairobi,8 - 10 years,8 - 10 years,Master's degree,Woman,White,56000.0,8
25031,2021-05-06 02:36:13,45-54,Government and Public Administration,Human Resources Director,,131600,1800.0,USD,,,USA,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",133400.0,11
25032,2021-05-06 02:37:01,25-34,Education (Higher Education),Director,Research Compliance,110000,0.0,USD,,,USA,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,PhD,Woman,White,110000.0,5
25033,2021-05-06 02:37:30,25-34,Law,Staff Attorney,,53000,0.0,USD,,,United States,New York,Olean,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,53000.0,2
25036,2021-05-06 02:52:51,45-54,"Accounting, Banking & Finance",Database Administrator,,85000,8000.0,GBP,,"Includes out of hours rota, does not include annual bonus",UK,,N/a,21 - 30 years,21 - 30 years,College degree,Woman,White,129227.6908540144,21
25037,2021-05-06 02:58:18,25-34,Nonprofits,Program Manager,,56600,0.0,USD,,,United States,Washington,Seattle,5-7 years,5-7 years,College degree,Non-binary,"Middle Eastern or Northern African, White",56600.0,5
25039,2021-05-06 02:59:46,35-44,Computing or Tech,Software developer,,45000,5000.0,EUR,,,Germany,,Braunschweig,11 - 20 years,11 - 20 years,Master's degree,Woman,White,60327.53022710902,11
25040,2021-05-06 03:22:32,25-34,Law,Staff attorney,I work at a legal aid organization as a staff attorney.,72000,0.0,USD,,,United States,Washington,Seattle,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,72000.0,5
25041,2021-05-06 03:22:56,35-44,Computing or Tech,Art Director,"Gaming Industry, large studio",210000,140000.0,USD,,Bonus depends on personal and company performance,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White,350000.0,11
25042,2021-05-06 03:36:40,25-34,"Accounting, Banking & Finance",Executive Assistant,,70000,10000.0,USD,,,United States of America,Massachusetts,Boston,8 - 10 years,2 - 4 years,College degree,Woman,White,80000.0,2
25043,2021-05-06 03:44:16,25-34,Education (Higher Education),PhD candidate,PhD candidate in Marine Biology,346800,0.0,SEK,,,Sweden,,Stockholm,8 - 10 years,5-7 years,Master's degree,Woman,White,41166.380789022296,5
25044,2021-05-06 03:51:44,25-34,"Accounting, Banking & Finance",Accounts payable,,52000,0.0,USD,,,United States,California,San Francisco,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,52000.0,2
25045,2021-05-06 04:00:12,25-34,Computing or Tech,Global Engagement Manager,,55000,0.0,GBP,,,United Kingdom,,London,8 - 10 years,5-7 years,College degree,Woman,White,76424.97846205153,5
25046,2021-05-06 04:01:30,35-44,Education (Higher Education),Senior Lecturer,,60883,2357.0,EUR,,"The bonus is a Christmas bonus given to everyone, negotiated by the union, dependent on the rest of the salary. 1.81% of my paycheck is also put into a pension fund and my government employer also puts the equivalent of 6.45% of my salary into a pension fund.",Germany,,Passau,11 - 20 years,11 - 20 years,Master's degree,Woman,White,76302.26023124749,11
25048,2021-05-06 04:14:20,45-54,Health care,Marketing Associate,,54870,500.0,EUR,,,Germany,,Bremerhaven,21 - 30 years,11 - 20 years,PhD,Woman,White,66806.70697350052,11
25050,2021-05-06 04:18:05,55-64,Nonprofits,CEO,,60000,0.0,GBP,,,UK,,Wrexham,21 - 30 years,21 - 30 years,Master's degree,Woman,White,83372.70377678348,21
25051,2021-05-06 04:28:48,25-34,Computing or Tech,Senior Software Engineer,,105000,0.0,USD,,,United States,Texas,Houston,8 - 10 years,5-7 years,College degree,Prefer not to answer,Black or African American,105000.0,5
25052,2021-05-06 04:33:47,25-34,Nonprofits,Fundraising Consultant,,75000,0.0,USD,,,USA,California,Orange,11 - 20 years,8 - 10 years,College degree,Woman,White,75000.0,8
25054,2021-05-06 04:41:04,25-34,Engineering or Manufacturing,Senior Software Engineer,,68500,5000.0,EUR,,,Germany,,Kassel,8 - 10 years,8 - 10 years,Master's degree,Woman,White,88681.46943385026,8
25055,2021-05-06 04:52:11,25-34,Government and Public Administration,Senior Policy Advisor,,37911,0.0,GBP,,,United Kingdom,,Belfast,5-7 years,5-7 years,College degree,Woman,White,52679.04288136065,5
25056,2021-05-06 05:05:06,25-34,"Marketing, Advertising & PR",Associate Director,,115000,0.0,USD,,,United States,California,Los Angeles,8 - 10 years,5-7 years,College degree,Woman,White,115000.0,5
25057,2021-05-06 05:06:30,45-54,Government and Public Administration,Nature Center Supervisor,,94000,0.0,USD,,,United States of America,Maryland,Rockville,21 - 30 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",94000.0,11
25058,2021-05-06 05:07:11,25-34,"Accounting, Banking & Finance",It business consultant,,95000,7000.0,EUR,,,The Netherlands,,Amsterdam,8 - 10 years,5-7 years,Master's degree,Woman,White,123068.1616633024,5
25059,2021-05-06 05:18:12,25-34,Education (Higher Education),Senior accountant,,55384,0.0,USD,,,USA,New York,Rochester,5-7 years,5-7 years,College degree,Woman,White,55384.0,5
25060,2021-05-06 05:21:03,35-44,Computing or Tech,Marketing Technology Coordinator,"The person who runs the back-end of our marketing technology, keeps the website up-to-date, reports on digital activity, but does not do social media marketing",41354,4577.0,GBP,,,UK,,"Eton, Berkshire",11 - 20 years,5-7 years,Master's degree,Woman,White,63823.1942861907,5
25062,2021-05-06 05:24:38,18-24,"Accounting, Banking & Finance",Apprentice Technical Systems Analyst,I'm a programmer on IBM servers,24000,1000.0,GBP,,,UK,,London,2 - 4 years,2 - 4 years,Some college,Woman,White,34738.626573659785,2
25065,2021-05-06 05:39:28,35-44,Government and Public Administration,Public Library Branch Manager,,90000,0.0,USD,,,United States,Texas,Dallas,21 - 30 years,21 - 30 years,Master's degree,Woman,White,90000.0,21
25066,2021-05-06 05:49:57,25-34,Law,Information Manager,Qualified librarian,73500,0.0,GBP,,,United Kingdom,,London,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,102131.56212655976,8
25067,2021-05-06 05:59:26,25-34,Nonprofits,Senior Project Officer,,32640,0.0,GBP,,,UK,,London,5-7 years,5-7 years,Master's degree,Woman,White,45354.750854570215,5
25069,2021-05-06 06:08:30,45-54,Education (Higher Education),Senior researcher,,116000,1000.0,USD,,,Denmark,,Copenhagen,11 - 20 years,11 - 20 years,PhD,Woman,White,117000.0,11
25070,2021-05-06 06:12:41,55-64,"Accounting, Banking & Finance",Relationship Manager,,75000,5000.0,USD,,,USA,Virginia,McLean,31 - 40 years,21 - 30 years,College degree,Woman,White,80000.0,21
25071,2021-05-06 06:13:38,25-34,Education (Primary/Secondary),Special Education Teacher,,53000,0.0,USD,,,USA,New Hampshire,Claremont,11 - 20 years,11 - 20 years,Master's degree,Woman,White,53000.0,11
25072,2021-05-06 06:18:42,35-44,Health care,Operations Specialist,,75000,0.0,USD,,,U.S.,Michigan,Grand Rapids,11 - 20 years,1 year or less,College degree,Woman,White,75000.0,1
